Habitat,DEM,sDEM,hDEM,DSM,CHM,Aspect,Slope,Curvature,PlanCurv,ProfileCurv,NDVI,NDRE,NDWI,x,y,Wetland
1.0,18.596609115600586,18.62240982055664,18.596609115600586,18.596609115600586,0.0,220.20492553710938,0.28271815180778503,-7.620917320251465,-7.436075687408447,0.18484151363372803,0.7400693893432617,0.12627308070659637,-0.5818936228752136,689081.6064922728,23141.985898857503,1
1.0,18.852712631225586,18.852712631225586,18.852712631225586,18.852712631225586,0.0,152.79940795898438,1.9434343576431274,0.0021192762069404125,0.0012457309057936072,-0.0008735453593544662,0.5842416286468506,0.1257733255624771,-0.588222861289978,689061.8116502162,23140.48629307393,1
3.0,20.939790725708008,21.09172821044922,20.939790725708008,23.523529052734375,2.6485767364501953,337.5292663574219,5.9299798011779785,-0.0,-0.0,0.0,0.8252316117286682,0.20499838888645172,-0.6676269769668579,689063.6111813124,23114.393152439698,1
1.0,18.76347541809082,18.600845336914062,18.76347541809082,20.473262786865234,1.3212013244628906,262.1270751953125,15.24978256225586,0.004238552413880825,0.0022630502935498953,-0.0019755023531615734,0.4596990942955017,0.16919270157814026,-0.5456942915916443,689045.3159485025,23112.593625499405,1
1.0,18.332489013671875,18.293556213378906,18.379987716674805,18.949296951293945,0.0,256.5201721191406,15.954920768737793,-13.741387367248535,-3.217996597290039,10.523390769958496,0.6317054033279419,0.10827162861824036,-0.529281735420227,689044.1162611052,23110.494177402397,1
3.0,21.192121505737305,21.49266815185547,21.192121505737305,25.982189178466797,5.368629455566406,341.0470275878906,26.861129760742188,-0.0021192762069404125,-0.0018957145512104034,0.00022356174304150045,0.8216747045516968,0.29275768995285034,-0.6778497695922852,689076.5078208339,23103.29606964123,1
3.0,22.353689193725586,21.882251739501953,22.353689193725586,23.228830337524414,0.8751411437988281,335.4405517578125,14.068394660949707,0.004238552413880825,0.0021192762069404125,-0.0021192762069404125,0.7732518315315247,0.16764605045318604,-0.6406352519989014,689146.3896117304,23102.396306171086,1
1.0,20.365406036376953,19.98576545715332,20.365406036376953,20.365406036376953,0.0,54.75347900390625,20.06786346435547,281.9167175292969,237.07293701171875,-44.843788146972656,0.7899284958839417,0.20386289060115814,-0.5533360242843628,689222.5697614629,23095.798040723348,1
3.0,18.65999984741211,18.746538162231445,18.65999984741211,18.65999984741211,0.0,9.82511043548584,9.77357292175293,277.21405029296875,104.02568817138672,-173.1883544921875,0.7076156735420227,0.1489211916923523,-0.6469805836677551,689145.4898461823,23092.198986842766,1
1.0,18.44647216796875,18.486295700073242,18.586585998535156,25.41242027282715,6.069393157958984,138.67811584472656,3.840848207473755,-23.822784423828125,-60.18313217163086,-36.360347747802734,0.6282185316085815,0.10149217396974564,-0.5759651064872742,689082.2063359715,23089.49969643233,1
2.0,18.64015007019043,18.865324020385742,18.64015007019043,18.64015007019043,0.0,323.6647033691406,4.282717227935791,5.724164962768555,-4.5571064949035645,-10.281271934509277,0.35441577434539795,0.31887781620025635,-0.39134451746940613,689222.8696833123,23086.800406021892,0
2.0,18.764453887939453,18.960033416748047,18.783588409423828,18.764453887939453,0.0,165.9716033935547,1.7734590768814087,-99.80095672607422,-61.46280288696289,38.33815383911133,0.22068949043750763,0.10724733769893646,-0.32385095953941345,689232.1672606418,23081.401825201014,0
2.0,18.36539077758789,18.556724548339844,18.376604080200195,18.36539077758789,0.0,347.46368408203125,4.666083812713623,-31.00501251220703,-53.2709846496582,-22.265972137451172,0.33087965846061707,0.11807854473590851,-0.37338346242904663,689142.1907058395,23079.90221941744,0
1.0,18.74828338623047,18.487777709960938,18.74828338623047,23.380388259887695,7.769783020019531,180.24688720703125,3.546013116836548,143.82467651367188,99.56236267089844,-44.26232147216797,0.6344047784805298,0.26575934886932373,-0.4569692313671112,689075.0082115873,23061.90695001452,1
1.0,18.611061096191406,18.324861526489258,18.611061096191406,19.2827205657959,0.6716594696044922,138.45013427734375,21.3165283203125,-9.305742263793945,-200.43955993652344,-191.13381958007812,0.7345677614212036,0.13745923340320587,-0.6237626671791077,688965.8366584273,23041.51231135788,1
1.0,18.02071189880371,17.83443832397461,18.02071189880371,25.055225372314453,7.034513473510742,132.0037841796875,30.2269287109375,446.0440673828125,265.4913024902344,-180.55276489257812,0.8164215087890625,0.18547363579273224,-0.6210772395133972,688892.9556490375,23038.51309979073,1
1.0,17.398212432861328,17.566425323486328,17.398212432861328,17.96765899658203,0.5694465637207031,283.9822082519531,14.574992179870605,-226.0377655029297,-212.18692016601562,13.850846290588379,0.7624486684799194,0.18175065517425537,-0.6300449967384338,688917.249318834,23035.513888223573,1
1.0,18.04477310180664,17.900053024291992,18.04477310180664,29.70892906188965,11.664155960083008,199.88418579101562,26.11971092224121,133.6161346435547,134.8885955810547,1.2724683284759521,0.7211846709251404,0.14968839287757874,-0.6049984097480774,688950.8405659603,23032.51467665642,1
1.0,17.489999771118164,16.77497673034668,17.489999771118164,18.044628143310547,1.2770862579345703,231.6964569091797,5.505887985229492,2321.637451171875,1217.6658935546875,-1103.9715576171875,0.6372858285903931,0.11618253588676453,-0.6248313188552856,689033.0191526796,23032.51467665642,1
3.0,19.29859161376953,19.5651798248291,19.29859161376953,26.8260440826416,7.52745246887207,187.0299072265625,8.683586120605469,-0.0021192762069404125,-3.1743933504913e-05,0.0020875323098152876,0.7537643909454346,0.203979030251503,-0.6420446634292603,689319.7444406493,23026.2163323654,1
1.0,17.454286575317383,17.293498992919922,17.454286575317383,17.67340087890625,0.2191143035888672,201.5972442626953,2.856904983520508,-198.04212951660156,-101.99172973632812,96.05039978027344,0.7119093537330627,0.14866627752780914,-0.6168399453163147,689151.1883613198,23020.817751544524,1
1.0,17.209999084472656,17.426755905151367,17.209999084472656,17.8062744140625,0.5962753295898438,355.6451416015625,4.670619487762451,270.11236572265625,132.65313720703125,-137.45921325683594,0.7776702642440796,0.16190040111541748,-0.6414539217948914,689147.5892991277,23015.119249566935,1
3.0,20.214689254760742,20.47446632385254,20.214689254760742,25.159502029418945,4.944812774658203,197.1195068359375,15.512438774108887,-0.0,-0.00029810244450345635,-0.00029810244450345635,0.7890262603759766,0.08966459333896637,-0.6408990025520325,689338.039673459,23014.219486096787,1
2.0,17.220792770385742,16.76588249206543,17.220792770385742,16.946508407592773,-0.058444976806640625,195.0609130859375,44.881587982177734,1414.455810546875,620.2257080078125,-794.2301025390625,0.6437927484512329,0.21201346814632416,-0.6425026655197144,688995.528921512,23008.820905275912,0
3.0,18.599428176879883,18.35036849975586,18.660036087036133,18.599428176879883,0.0,149.7110595703125,2.8408234119415283,-39.84239196777344,40.585330963134766,80.42771911621094,0.7435029745101929,0.15742617845535278,-0.5721859931945801,689414.2198231916,23007.921141805768,1
3.0,18.472517013549805,18.494356155395508,18.599191665649414,18.472517013549805,0.0,50.225440979003906,34.33364486694336,-770.3654174804688,-354.93408203125,415.43133544921875,0.7740007638931274,0.15615367889404297,-0.6335878372192383,689377.6293575721,23004.921930238615,1
1.0,16.880023956298828,17.102018356323242,16.90558433532715,17.87004852294922,0.9900245666503906,117.47418975830078,5.266393661499023,147.84495544433594,47.97175598144531,-99.8731918334961,0.7355395555496216,0.16125576198101044,-0.6465845108032227,689194.6770294742,22995.924295537156,1
1.0,17.42059898376465,17.05823516845703,17.42059898376465,17.78824806213379,0.3676490783691406,91.29791259765625,24.124570846557617,611.3984985351562,246.54209899902344,-364.85638427734375,0.7680110931396484,0.1572745144367218,-0.5804397463798523,688930.1459583557,22994.424689753578,1
3.0,18.669639587402344,18.725107192993164,18.669639587402344,19.135358810424805,0.46571922302246094,118.598388671875,9.231908798217773,357.7465515136719,336.90264892578125,-20.843891143798828,0.7569826245307922,0.14482517540454865,-0.6179391145706177,689435.5142744948,22992.62516281329,1
3.0,16.664777755737305,16.65396499633789,16.664777755737305,18.061317443847656,1.486623764038086,171.5447998046875,21.509647369384766,658.6181030273438,257.1700744628906,-401.4480285644531,0.7315332889556885,0.15576596558094025,-0.5949469804763794,689014.1240761711,22992.32524165657,1
