,GRID_ID,Truth,Output
288,AO-59,0,0
289,AO-67,0,0
290,AO-72,0,1
291,AO-77,0,1
292,AO-82,0,1
293,AO-84,0,1
294,AO-86,0,1
295,AO-88,0,1
296,AO-97,0,0
297,AO-99,0,0
298,AP-15,1,1
299,AP-31,1,1
300,AP-32,1,1
301,AP-34,1,1
302,AP-38,1,1
303,AP-39,1,1
304,AP-48,0,1
305,AP-52,0,0
306,AP-57,0,0
307,AP-60,0,0
308,AP-61,0,0
309,AP-62,0,0
310,AP-82,0,1
311,AP-83,0,1
312,AP-89,0,0
313,AP-90,0,0
314,AP-92,0,0
315,AP-93,0,0
316,AP-95,0,0
317,AP-97,0,0
318,AQ-17,1,1
319,AQ-18,1,1
320,AQ-19,1,1
321,AQ-24,1,1
322,AQ-3,1,1
323,AQ-31,1,1
324,AQ-34,1,1
325,AQ-39,1,1
326,AQ-46,0,1
327,AQ-49,0,0
328,AQ-57,0,0
329,AQ-60,0,0
330,AQ-67,0,0
331,AQ-72,0,1
332,AQ-85,0,0
333,AQ-94,0,0
334,AR-10,1,1
335,AR-11,1,1
336,AR-14,1,1
337,AR-16,1,1
338,AR-21,1,1
339,AR-28,1,1
340,AR-33,1,1
341,AR-35,1,1
342,AR-37,1,1
343,AR-38,1,1
344,AR-4,1,1
345,AR-40,1,1
346,AR-43,1,1
347,AR-5,1,1
348,AR-51,0,0
349,AR-53,0,0
350,AR-56,0,0
351,AR-74,0,1
352,AR-75,0,1
353,AR-79,0,0
354,AR-8,1,1
355,AR-88,0,0
356,AR-89,0,0
357,AR-91,0,0
358,AR-96,0,0
359,AS-10,1,1
360,AS-12,1,1
361,AS-28,1,1
362,AS-38,1,1
363,AS-4,1,1
364,AS-40,1,1
365,AS-44,0,1
366,AS-5,1,1
367,AS-58,0,0
368,AS-59,0,0
369,AS-6,1,1
370,AS-71,0,1
371,AS-74,0,1
372,AS-76,0,1
373,AS-77,0,0
374,AS-78,0,0
375,AS-95,0,0
376,AT-11,1,1
377,AT-19,1,1
378,AT-20,1,1
379,AT-24,1,1
380,AT-30,1,1
381,AT-33,1,1
382,AT-4,1,1
383,AT-50,0,0
384,AT-52,0,0
385,AT-54,0,1
386,AT-55,0,1
387,AT-62,0,1
388,AT-63,0,0
389,AT-7,1,1
390,AT-76,0,1
391,AT-78,0,0
392,AT-86,0,0
393,AT-87,0,0
394,AT-88,0,0
395,AT-90,0,0
396,AT-96,0,0
397,AT-97,0,0
398,AT-99,0,0
399,AU-13,1,1
400,AU-24,1,1
401,AU-27,1,1
402,AU-35,1,1
403,AU-36,1,1
404,AU-38,1,1
405,AU-50,0,1
406,AU-51,0,1
407,AU-52,0,1
408,AU-54,0,1
409,AU-59,0,0
410,AU-60,0,0
411,AU-74,0,1
412,AU-8,1,1
413,AU-81,0,0
414,AU-89,0,0
415,AU-93,0,0
416,AV-10,1,1
417,AV-14,1,1
418,AV-15,1,1
419,AV-16,1,1
420,AV-20,1,1
421,AV-23,1,1
422,AV-30,1,1
423,AV-32,1,1
424,AV-35,1,1
425,AV-4,1,1
426,AV-40,1,1
427,AV-5,1,1
428,AV-54,0,1
429,AV-6,1,1
430,AV-7,1,1
431,AW-10,1,1
432,AW-11,1,1
433,AW-13,1,1
434,AW-16,1,1
435,AW-18,1,1
436,AW-2,1,1
437,AW-22,1,1
438,AW-23,1,1
439,AW-24,1,1
440,AW-26,1,1
441,AW-28,1,1
442,AW-37,1,1
443,AW-6,1,1
444,AW-64,0,0
445,AW-66,0,1
446,AX-21,1,1
447,AX-25,1,1
448,AX-28,1,1
449,AX-3,1,1
450,AX-30,1,1
451,AX-4,1,1
452,AX-48,0,1
453,AX-58,0,1
454,AX-62,0,1
455,AX-66,0,1
456,AY-18,1,1
457,AY-19,1,1
458,AY-20,1,1
459,AY-22,1,1
460,AY-32,1,1
461,AY-33,1,1
462,AY-35,1,1
463,AY-49,0,1
464,AY-5,1,1
465,AY-52,1,1
466,AY-62,0,1
467,AY-64,0,0
468,AZ-11,1,1
469,AZ-13,1,1
470,AZ-15,1,1
471,AZ-17,1,1
472,AZ-20,1,1
473,AZ-33,1,1
474,AZ-35,1,1
475,AZ-39,1,1
476,AZ-4,1,1
477,AZ-44,1,1
478,AZ-50,1,1
479,AZ-51,1,1
480,AZ-6,1,1
481,AZ-65,0,1
482,AZ-8,1,1
483,B-29,0,1
484,B-34,1,1
485,B-35,1,1
486,B-46,1,1
487,B-48,1,1
488,B-63,1,1
489,B-75,0,1
490,B-77,1,1
491,B-80,1,1
492,B-81,1,1
493,B-87,1,1
494,B-91,1,1
495,B-95,1,1
496,B-96,1,1
497,BA-10,1,1
498,BA-18,1,1
499,BA-22,1,1
500,BA-23,1,1
501,BA-30,1,1
502,BA-31,1,1
503,BA-32,1,1
504,BA-44,1,1
505,BA-57,0,1
506,BA-61,0,0
507,BA-9,1,1
508,BB-13,1,1
509,BB-23,1,1
510,BB-28,1,1
511,BB-29,1,1
512,BB-3,1,1
513,BB-37,1,1
514,BB-38,1,1
515,BB-43,1,1
516,BB-58,0,1
517,BB-64,0,1
518,BC-17,1,1
519,BC-2,1,1
